2;0;100;0.0628319;-1,79E-02;0;4,85E+15;5,82E+15;7,28E+15;5,82E+15
2;0;1000;0.00628319;-3,58E-02;489600;4,85E+15;5,82E+15;7,28E+15;5,82E+15
2;0;10000;0.000628319;-5,96E-02;0;4,85E+15;5,82E+15;7,28E+15;5,82E+15
2;0;100000;6,28E+00;1,19E-02;0;4,85E+15;5,82E+15;7,28E+15;5,82E+15
2;0;1,00E+06;6,28E-01;-1,79E-02;4,69E+12;4,85E+15;5,82E+15;7,28E+15;5,84E+15
2;0;1,00E+07;6,28E-02;0;4,53E+13;4,85E+15;5,75E+15;7,29E+15;6,10E+14
2;0;1,00E+08;6,28E-03;0;4,50E+14;4,85E+15;4,85E+15;4,85E+15;4,85E+15
2;0;1,00E+09;6,28E-04;0;4,49E+14;4,85E+15;4,85E+15;4,85E+15;4,85E+15
2;0;1,00E+10;6,28E-05;0;4,48E+16;4,85E+15;4,85E+15;4,85E+15;4,85E+15
2;0;1,00E+11;6,28E-06;0;4,49E+17;4,85E+15;4,85E+15;4,85E+15;4,85E+15
